PSRAID,COUNTRY,Q145,Q146,Q70,Q74
100263,Ethiopia,Male,30,No, 
100264,Ethiopia,Male,28,No, 
100265,Ethiopia,Female,22,No, 
100266,Ethiopia,Male,50,No, 
100267,Ethiopia,Male,19,Yes,Yes
100268,Ethiopia,Male,27,No, 
100269,Ethiopia,Male,34,Don’t know, 
100270,Ethiopia,Male,39,No, 
100271,Ethiopia,Male,44,No, 
100272,Ethiopia,Female,21,No, 
100273,Ethiopia,Male,55,Don’t know, 
100274,Ethiopia,Female,43,Don’t know, 
100275,Ethiopia,Female,29,No, 
100276,Ethiopia,Female,38,No, 
100277,Ethiopia,Male,60,Don’t know, 
100278,Ethiopia,Female,35,Don’t know, 
100279,Ethiopia,Female,47,Don’t know, 
100280,Ethiopia,Male,55,No, 
100281,Ethiopia,Female,28,No, 
100282,Ethiopia,Female,45,Don’t know, 
100283,Ethiopia,Female,35,Don’t know, 
100284,Ethiopia,Male,32,Don’t know, 
100285,Ethiopia,Male,26,Don’t know, 
100286,Ethiopia,Female,40,Don’t know, 
100287,Ethiopia,Male,19,Don’t know, 
100288,Ethiopia,Male,55,No, 
100289,Ethiopia,Female,36,No, 
100290,Ethiopia,Female,35,No, 
100291,Ethiopia,Female,19,No, 
100292,Ethiopia,Female,18,No, 
100293,Ethiopia,Female,26,No, 
100294,Ethiopia,Female,25,Yes,Yes
100295,Ethiopia,Male,18,No, 
100296,Ethiopia,Female,46,No, 
100297,Ethiopia,Male,50,No, 
100298,Ethiopia,Male,19,Yes,Yes
100299,Ethiopia,Male,25,Yes,Yes
100300,Ethiopia,Male,19,No, 
100301,Ethiopia,Male,50,No, 
100302,Ethiopia,Female,19,No, 
100303,Ethiopia,Female,60,No, 
100304,Ethiopia,Male,26,No, 
100305,Ethiopia,Female,28,No, 
100306,Ethiopia,Male,60,No, 
100307,Ethiopia,Male,35,No, 
100308,Ethiopia,Male,28,No, 
100309,Ethiopia,Male,20,No, 
100310,Ethiopia,Male,52,No, 
100311,Ethiopia,Female,48,No, 
100312,Ethiopia,Female,40,No, 
100313,Ethiopia,Female,25,No, 
100314,Ethiopia,Male,28,No, 
100315,Ethiopia,Female,30,No,No
100316,Ethiopia,Male,30,No, 
100317,Ethiopia,Male,40,No, 
100318,Ethiopia,Female,23,No, 
100319,Ethiopia,Female,25,No, 
100320,Ethiopia,Female,44,No, 
100321,Ethiopia,Male,25,No, 
100322,Ethiopia,Female,23,No, 
100323,Ethiopia,Female,25,No, 
100324,Ethiopia,Male,45,No, 
100325,Ethiopia,Male,45,Don’t know, 
100326,Ethiopia,Male,20,Yes,Yes
100327,Ethiopia,Female,40,Don’t know, 
100328,Ethiopia,Female,20,No, 
100329,Ethiopia,Male,20,No, 
100330,Ethiopia,Male,50,No, 
100331,Ethiopia,Female,25,No, 
100332,Ethiopia,Male,25,No, 
100333,Ethiopia,Male,26,No, 
100334,Ethiopia,Male,21,Yes,Yes
100335,Ethiopia,Male,55,No, 
100336,Ethiopia,Female,25,Yes,Yes
100337,Ethiopia,Female,25,No, 
100338,Ethiopia,Female,30,Don’t know, 
100339,Ethiopia,Female,40,No, 
100340,Ethiopia,Male,34,Yes,No
100341,Ethiopia,Male,40,No, 
100342,Ethiopia,Male,18,No, 
100343,Ethiopia,Female,25,No, 
100344,Ethiopia,Female,24,No, 
100345,Ethiopia,Female,18,No, 
100346,Ethiopia,Female,20,No, 
100347,Ethiopia,Male,26,No, 
100348,Ethiopia,Female,22,No, 
100349,Ethiopia,Female,25,Don’t know, 
100350,Ethiopia,Female,24,No, 
100351,Ethiopia,Female,19,No, 
100352,Ethiopia,Female,35,Don’t know, 
100353,Ethiopia,Female,18,No, 
100354,Ethiopia,Female,22,No, 
100355,Ethiopia,Male,20,No, 
100356,Ethiopia,Male,40,No, 
100357,Ethiopia,Male,40,Don’t know, 
100358,Ethiopia,Male,22,Don’t know, 
100359,Ethiopia,Male,25,Don’t know, 
100360,Ethiopia,Female,34,No, 
100361,Ethiopia,Male,30,Yes,Yes
100362,Ethiopia,Male,55,Don’t know, 
100363,Ethiopia,Female,41,Don’t know, 
100364,Ethiopia,Male,46,Don’t know, 
100365,Ethiopia,Female,23,Don’t know, 
100366,Ethiopia,Female,60,Don’t know, 
100367,Ethiopia,Female,38,Don’t know, 
100368,Ethiopia,Male,30,No, 
100369,Ethiopia,Female,20,No, 
100370,Ethiopia,Female,25,No, 
100371,Ethiopia,Male,35,No, 
100372,Ethiopia,Male,29,No, 
100373,Ethiopia,Female,40,No, 
100374,Ethiopia,Female,31,No, 
100375,Ethiopia,Male,26,No, 
100376,Ethiopia,Female,38,No, 
100377,Ethiopia,Female,22,No, 
100378,Ethiopia,Female,30,Don’t know, 
100379,Ethiopia,Female,32,Don’t know, 
100380,Ethiopia,Male,35,Yes,Yes
100381,Ethiopia,Male,32,Yes,Yes
100382,Ethiopia,Male,19,No, 
100383,Ethiopia,Male,18,No, 
100384,Ethiopia,Female,23,No, 
100385,Ethiopia,Female,40,No, 
100386,Ethiopia,Female,22,No, 
100387,Ethiopia,Female,31,No, 
100388,Ethiopia,Female,18,No, 
100389,Ethiopia,Male,28,No, 
100390,Ethiopia,Male,27,No, 
100391,Ethiopia,Male,20,No, 
100392,Ethiopia,Female,36,No, 
100393,Ethiopia,Male,21,No, 
100394,Ethiopia,Male,30,Yes,No
100395,Ethiopia,Female,28,Don’t know, 
100396,Ethiopia,Male,35,No, 
100397,Ethiopia,Male,45,No, 
100398,Ethiopia,Male,19,Yes,Yes
100399,Ethiopia,Male,28,No, 
100400,Ethiopia,Female,24,No, 
100401,Ethiopia,Male,30,No, 
100402,Ethiopia,Male,23,No, 
100403,Ethiopia,Female,35,No, 
100404,Ethiopia,Female,19,Don’t know, 
100405,Ethiopia,Male,40,No, 
100406,Ethiopia,Female,24,Don’t know, 
100407,Ethiopia,Male,18,No, 
100408,Ethiopia,Male,20,No, 
100409,Ethiopia,Male,20,Don’t know, 
100410,Ethiopia,Male,40,No, 
100411,Ethiopia,Female,30,Don’t know, 
100412,Ethiopia,Female,20,Don’t know, 
100413,Ethiopia,Male,25,Don’t know, 
100414,Ethiopia,Female,60,Don’t know, 
100415,Ethiopia,Male,21,No, 
100416,Ethiopia,Female,25,Don’t know, 
100417,Ethiopia,Male,25,No, 
100418,Ethiopia,Male,49,No, 
100419,Ethiopia,Male,25,No, 
100420,Ethiopia,Male,20,No, 
100421,Ethiopia,Female,25,No, 
100422,Ethiopia,Female,30,No, 
100423,Ethiopia,Female,18,No, 
100424,Ethiopia,Female,61,No, 
100425,Ethiopia,Female,40,No, 
100426,Ethiopia,Male,55,No, 
100427,Ethiopia,Female,36,No, 
100428,Ethiopia,Female,19,No, 
100429,Ethiopia,Female,22,No, 
100430,Ethiopia,Male,38,No, 
100431,Ethiopia,Female,55,No, 
100432,Ethiopia,Male,28,No, 
100433,Ethiopia,Female,33,No, 
100434,Ethiopia,Female,35,No, 
100435,Ethiopia,Male,19,Yes,No
100436,Ethiopia,Male,24,No, 
100437,Ethiopia,Female,40,No, 
100438,Ethiopia,Female,22,No, 
100439,Ethiopia,Male,30,No, 
100440,Ethiopia,Female,40,Don’t know, 
100441,Ethiopia,Male,30,No, 
100442,Ethiopia,Female,28,No, 
100443,Ethiopia,Male,40,Don’t know, 
100444,Ethiopia,Male,40,No, 
100445,Ethiopia,Male,20,No, 
100446,Ethiopia,Female,30,No, 
100447,Ethiopia,Male,21,Yes,Yes
100448,Ethiopia,Male,25,No, 
100449,Ethiopia,Male,35,No, 
100450,Ethiopia,Female,23,No, 
100451,Ethiopia,Male,25,No, 
100452,Ethiopia,Female,29,No, 
100453,Ethiopia,Male,18,Yes,Yes
100454,Ethiopia,Male,21,No, 
100455,Ethiopia,Male,20,No, 
100456,Ethiopia,Male,30,No, 
100457,Ethiopia,Male,34,No, 
100458,Ethiopia,Female,27,Don’t know, 
100459,Ethiopia,Female,26,No, 
100460,Ethiopia,Female,42,Don’t know, 
100461,Ethiopia,Female,36,Yes,Yes
100462,Ethiopia,Female,32,No, 
100463,Ethiopia,Female,30,Don’t know, 
100464,Ethiopia,Female,20,No, 
100465,Ethiopia,Female,20,Yes,Yes
100466,Ethiopia,Female,38,No, 
100467,Ethiopia,Female,33,No, 
100468,Ethiopia,Female,20,Don’t know, 
100469,Ethiopia,Male,18,Don’t know, 
100470,Ethiopia,Male,35,No, 
100471,Ethiopia,Male,32,No, 
100472,Ethiopia,Male,62,Don’t know, 
100473,Ethiopia,Male,35,No, 
100474,Ethiopia,Male,63,No, 
100475,Ethiopia,Female,25,No,Don’t know
100476,Ethiopia,Male,27,No, 
100477,Ethiopia,Male,41,No, 
100478,Ethiopia,Female,40,No, 
100479,Ethiopia,Male,30,No, 
100480,Ethiopia,Female,25,Don’t know, 
100481,Ethiopia,Female,25,Yes,Yes
100482,Ethiopia,Male,34,Yes,Yes
100483,Ethiopia,Female,20,No,No
100484,Ethiopia,Female,28,Don’t know, 
100485,Ethiopia,Female,40,Don’t know, 
100486,Ethiopia,Female,18,No, 
100487,Ethiopia,Male,25,No, 
100488,Ethiopia,Female,23,No, 
100489,Ethiopia,Male,26,No, 
100490,Ethiopia,Male,22,No, 
100491,Ethiopia,Female,30,No, 
100492,Ethiopia,Male,26,No, 
100493,Ethiopia,Female,18,No, 
100494,Ethiopia,Female,36,Don’t know, 
100495,Ethiopia,Female,18,No, 
100496,Ethiopia,Female,27,Don’t know, 
100497,Ethiopia,Male,43,No, 
100498,Ethiopia,Female,18,No, 
100499,Ethiopia,Male,28,No, 
100500,Ethiopia,Female,18,No, 
100501,Ethiopia,Female,20,Don’t know, 
100502,Ethiopia,Male,22,No, 
100503,Ethiopia,Male,20,No, 
100504,Ethiopia,Female,20,No, 
100505,Ethiopia,Female,25,Don’t know, 
100506,Ethiopia,Male,50,Don’t know, 
100507,Ethiopia,Female,19,Don’t know, 
100508,Ethiopia,Female,35,Don’t know, 
100509,Ethiopia,Female,36,Don’t know, 
100510,Ethiopia,Female,60,Don’t know, 
100511,Ethiopia,Male,35,No, 
100512,Ethiopia,Female,35,No, 
100513,Ethiopia,Male,22,Don’t know, 
100514,Ethiopia,Female,18,No, 
100515,Ethiopia,Female,23,No, 
100516,Ethiopia,Male,31,No, 
100517,Ethiopia,Female,24,No, 
100518,Ethiopia,Male,21,No, 
100519,Ethiopia,Male,20,Yes,Yes
100520,Ethiopia,Female,34,No, 
100521,Ethiopia,Female,25,No, 
100522,Ethiopia,Male,34,No, 
100523,Ethiopia,Male,25,Yes,Yes
100524,Ethiopia,Male,29,No, 
100525,Ethiopia,Female,25,No, 
100526,Ethiopia,Male,35,No, 
100527,Ethiopia,Female,25,Don’t know, 
100528,Ethiopia,Male,35,No, 
100529,Ethiopia,Female,28,No,Don’t know
100530,Ethiopia,Male,44,Yes,Yes
100531,Ethiopia,Male,18,Yes,Yes
100532,Ethiopia,Female,18,No, 
100533,Ethiopia,Male,26,No, 
100534,Ethiopia,Female,25,No, 
100535,Ethiopia,Male,50,No, 
100536,Ethiopia,Female,35,No, 
100537,Ethiopia,Female,30,No, 
100538,Ethiopia,Male,24,Yes,Yes
100539,Ethiopia,Male,42,No, 
100540,Ethiopia,Male,45,No, 
100541,Ethiopia,Male,22,No, 
100542,Ethiopia,Female,37,No, 
100543,Ethiopia,Female,28,No, 
100544,Ethiopia,Male,46,No, 
100545,Ethiopia,Female,40,Don’t know, 
100546,Ethiopia,Female,22,Don’t know, 
100547,Ethiopia,Female,22,Don’t know, 
100548,Ethiopia,Female,40,Don’t know, 
100549,Ethiopia,Male,38,Don’t know, 
100550,Ethiopia,Male,38,Don’t know, 
100551,Ethiopia,Female,44,Don’t know, 
100552,Ethiopia,Female,18,No, 
100553,Ethiopia,Female,30,Don’t know, 
100554,Ethiopia,Male,30,Don’t know, 
100555,Ethiopia,Male,42,Don’t know, 
100556,Ethiopia,Male,19,No, 
100557,Ethiopia,Male,48,No, 
100558,Ethiopia,Male,35,No, 
100559,Ethiopia,Male,50,No, 
100560,Ethiopia,Male,42,No, 
100561,Ethiopia,Male,28,No, 
100562,Ethiopia,Male,26,No, 
100563,Ethiopia,Male,40,No, 
100564,Ethiopia,Female,31,No, 
100565,Ethiopia,Male,22,No, 
100566,Ethiopia,Female,45,No, 
100567,Ethiopia,Male,30,No, 
100568,Ethiopia,Female,18,No, 
100569,Ethiopia,Male,25,No, 
100570,Ethiopia,Female,40,No, 
100571,Ethiopia,Male,25,No, 
100572,Ethiopia,Female,22,No, 
100573,Ethiopia,Female,55,No, 
100574,Ethiopia,Female,46,No, 
100575,Ethiopia,Female,24,No, 
100576,Ethiopia,Male,40,No, 
100577,Ethiopia,Female,32,No, 
100578,Ethiopia,Male,28,Don’t know, 
100579,Ethiopia,Male,44,Don’t know, 
100580,Ethiopia,Female,32,Don’t know, 
100581,Ethiopia,Female,18,Don’t know, 
100582,Ethiopia,Female,19,No, 
100583,Ethiopia,Male,39,No, 
100584,Ethiopia,Male,56,No, 
100585,Ethiopia,Female,22,Yes,Yes
100586,Ethiopia,Male,25,Yes,Yes
100587,Ethiopia,Male,26,No, 
100588,Ethiopia,Female,26,No, 
100589,Ethiopia,Female,35,No, 
100590,Ethiopia,Male,32,No, 
100591,Ethiopia,Male,24,No, 
100592,Ethiopia,Female,34,No, 
100593,Ethiopia,Male,42,No, 
100594,Ethiopia,Female,30,No, 
100595,Ethiopia,Male,38,No, 
100596,Ethiopia,Female,55,Don’t know, 
100597,Ethiopia,Male,45,No, 
100598,Ethiopia,Male,45,Don’t know, 
100599,Ethiopia,Female,30,Don’t know, 
100600,Ethiopia,Male,55,No, 
100601,Ethiopia,Female,40,Don’t know, 
100602,Ethiopia,Female,60,Don’t know, 
100603,Ethiopia,Female,20,Don’t know, 
100604,Ethiopia,Male,27,No, 
100605,Ethiopia,Male,55,Don’t know, 
100606,Ethiopia,Female,27,Don’t know, 
100607,Ethiopia,Female,35,Don’t know, 
100608,Ethiopia,Female,21,Yes,Yes
100609,Ethiopia,Female,30,No, 
100610,Ethiopia,Male,18,No, 
100611,Ethiopia,Male,18,Don’t know, 
100612,Ethiopia,Male,18,Don’t know, 
100613,Ethiopia,Male,40,No, 
100614,Ethiopia,Male,38,No, 
100615,Ethiopia,Male,31,No, 
100616,Ethiopia,Male,28,No, 
100617,Ethiopia,Male,45,No, 
100618,Ethiopia,Female,18,Don’t know, 
100619,Ethiopia,Female,26,Don’t know, 
100620,Ethiopia,Male,20,No, 
100621,Ethiopia,Female,55,Don’t know, 
100622,Ethiopia,Female,33,Don’t know, 
100623,Ethiopia,Female,42,Don’t know, 
100624,Ethiopia,Male,50,Don’t know, 
100625,Ethiopia,Male,45,No, 
100626,Ethiopia,Female,35,No, 
100627,Ethiopia,Female,18,Don’t know, 
100628,Ethiopia,Female,28,No, 
100629,Ethiopia,Male,51,No, 
100630,Ethiopia,Female,21,No, 
100631,Ethiopia,Male,32,No, 
100632,Ethiopia,Female,50,No, 
100633,Ethiopia,Male,63,No, 
100634,Ethiopia,Female,40,No, 
100635,Ethiopia,Female,23,No, 
100636,Ethiopia,Male,28,No, 
100637,Ethiopia,Female,40,Don’t know, 
100638,Ethiopia,Female,40,Don’t know, 
100639,Ethiopia,Male,23,No, 
100640,Ethiopia,Female,23,No, 
100641,Ethiopia,Female,40,Don’t know, 
100642,Ethiopia,Male,40,No, 
100643,Ethiopia,Female,30,No, 
100644,Ethiopia,Female,24,No, 
100645,Ethiopia,Female,57,No, 
100646,Ethiopia,Male,45,No, 
100647,Ethiopia,Male,32,Yes,Yes
100648,Ethiopia,Female,51,Don’t know, 
100649,Ethiopia,Male,50,Don’t know, 
100650,Ethiopia,Female,51,No, 
100651,Ethiopia,Female,26,No, 
100652,Ethiopia,Female,24,No, 
100653,Ethiopia,Female,37,No, 
100654,Ethiopia,Female,50,No, 
100655,Ethiopia,Female,30,No, 
100656,Ethiopia,Male,20,No, 
100657,Ethiopia,Female,60,No, 
100658,Ethiopia,Female,37,No,No
100659,Ethiopia,Male,35,No, 
100660,Ethiopia,Male,28,No, 
100661,Ethiopia,Male,30,Yes,Yes
100662,Ethiopia,Male,44,No, 
100663,Ethiopia,Male,32,No, 
100664,Ethiopia,Female,20,No, 
100665,Ethiopia,Male,20,No, 
100666,Ethiopia,Female,54,No, 
100667,Ethiopia,Female,47,Don’t know, 
100668,Ethiopia,Female,30,Don’t know, 
100669,Ethiopia,Male,54,No, 
100670,Ethiopia,Male,57,No, 
100671,Ethiopia,Male,25,No, 
100672,Ethiopia,Male,30,Don’t know, 
100673,Ethiopia,Male,23,No,No
100674,Ethiopia,Male,48,Don’t know, 
100675,Ethiopia,Female,35,No, 
100676,Ethiopia,Male,45,No, 
100677,Ethiopia,Female,18,No, 
100678,Ethiopia,Female,30,Don’t know, 
100679,Ethiopia,Female,25,Don’t know, 
100680,Ethiopia,Male,25,No, 
100681,Ethiopia,Female,28,No, 
100682,Ethiopia,Female,45,No, 
100683,Ethiopia,Female,22,No, 
100684,Ethiopia,Male,44,No, 
100685,Ethiopia,Female,37,Don’t know, 
100686,Ethiopia,Male,18,Yes,Yes
100687,Ethiopia,Female,25,Don’t know, 
100688,Ethiopia,Female,46,Don’t know, 
